Model,Value
Random Forest,0.973248407643312
Logistic Regression,0.9782330345710627
CNN LeNet,0.9833546734955184
CNN LeNet Dropout,0.9872122762148338
CNN LeNet Dropout and BN,0.983397190293742
CNN Single Inception,0.9845758354755784
CNN Multi Inception,0.9833546734955184
CNN Lenet Dropout + DA,0.9833546734955184

