Model,Value
Random Forest,0.9599236641221374
Logistic Regression,0.9675572519083969
CNN LeNet,0.9713740348815918
CNN LeNet Dropout,0.9809160232543944
CNN LeNet Dropout and BN,0.975190818309784
CNN Single Inception,0.9770992398262024
CNN Multi Inception,0.975190818309784
CNN Lenet Dropout + DA,0.9656488299369812
